restaurant_name,location,status,rating,full address,cusine,fssai
NIC Natural Ice Creams,Arekere,Closed,4.4,"NIC Natural Ice Creams, 33 4th Cross, 5th Main road Navodya Nagar JP Nagar 7th Phase Bangalore Karnataka 560076","Ice Cream,Desserts",Applied for license
SHIVU CANE JUICE,Arekere,Closed,4.2,"SHIVU CANE JUICE, Elica Showroom Bangalore No. 81/4A, Hulimavu Police Station Road, Opp. Royal Meenakshi Mall, Near BGS School, Bannerghatta, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076 ",Beverages,Applied for license
Meat and Eat,Arekere,Closed,4.0,"Meat and Eat, Shop No.6, KSV Complex, No.1/A, 34/4, D.C. Halli Main RoadD,Opp.PK Home needs, Devarachikkanahalli Main Rd, Maruthi Layout, Seenappa Layout, Bommanahalli, Bengaluru, Karnataka 560076",Fast Food,License No. 21219192000685
Suryawanshi,Arekere,-- MINS,3.8,"Suryawanshi, 1st Floor, 16, Gowrys, Omkar nagar, Arekere, Bannerghatta Road, Bangalore 560075",Seafood,License No. 21218194001317
Kanti Sweets,Arekere,Closed,4.3,"Kanti Sweets, Kanti Sweets No. 4, Arakere Village, Begur Hobli,Bannerghatta Road, opp. Reliance mart, Bengaluru-560078",Desserts,License No. 11218334000621
Waffle Walle,Arekere,Closed,4.0,"Waffle Walle, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Desserts,Applied for license
Thalassery Restaurant,Arekere,-- MINS,4.0,"Thalassery Restaurant, Bassavalingappa nagar, billekalli village, bommanhalli","South Indian,Biryani,Kerala,North Indian,Chinese",License No. 11218334002010
ICEE,Arekere,-- MINS,--,"ICEE, icee, next to ample mart, DLF New Town, Akshayanagar, Bennerghatta Main Road  Bengaluru, 560068","Fast Food,Juices",License No. 21219194001491
Gowdru Mane hotel,Arekere,Closed,--,"Gowdru Mane hotel, No-136, Annapurna, Kothnur Main Road, Gottigere, B G Road, Bangalore, District - B.B.M.P South, STATE - Karnataka","Indian,Fast Food",License No. 11218334001770
Rao's Goli Plus Vada Pav,Arekere,Closed,4.3,"Rao's Goli Plus Vada Pav, 9//10, Akshaya Nagar Main Road, Akshaya Nagar West, Bangalore - 560068","American,Fast Food",License No. 21219192001476
Dreamcatcher,Arekere,-- MINS,--,"Dreamcatcher, 128/54/10, Ground Floor, Opposite IIM - B, Dasarapalya, Bannerghatta Road, Bangalore","Continental,American,Desserts,Beverages",License No. 11218334002286
Malhar,Arekere,Closed,3.8,"Malhar, Gowry's no 16, Survey no 13,Bannerghatta Main Rd, Near Arekere Gate, Bangalore - 76",Maharashtrian,License No. 11218334001831
Pop Hop,Arekere,Closed,--,"Pop Hop, Spectrum Mall bannergatta- central,Sy no .192&193 bilekahalli village begur hobli, spectrum mall bannergatta bangalore - 560076","Desserts,Ice Cream",License No. 21218193001224
NAVEENA KABAB AND BIRIYANI MANE,Arekere,Closed,--,"NAVEENA KABAB AND BIRIYANI MANE, NO 57/1, 100 FT ROAD, NEAR PESIT COLLEGE, DWARAKANAGAR, HOSAKEREHALLI, BSK 3RD STAGE, BANGALORE, R R NAGARA, B.B.M.P WEST (KARNATAKA) - 560085","Biryani,Fast Food",License No. 21218186001011
McDonald's,Arekere,Closed,4.1,"McDonald's, Hardcastle Restaurants Pvt Ltd, McDonald's Family Restaurants,No 8,Kukke Plaza, 80 Feet Road, Nyanappana Halli,Akshaya nagar, Begur Hobli, DLF New Town Main road, Next to SLV Wines, Bangalore ? 560068",Fast Food,License No. 11218334002013
Hyderabadi Biriyani House,Arekere,Closed,3.4,"Hyderabadi Biriyani House, No. 633/B555, Panduranga Nagar, Opp HSBC, Near Arekere Gate, Bannerghatta Road, Bangalore 76","Seafood,Andhra,Biryani,Desserts,South Indian,Fast Food,Beverages",License No. 11219334001174
Green Chillies,Arekere,Closed,--,"Green Chillies, JP Nagar","Indian,Chinese,Snacks",License No. 11217334000835
Lassi Hut,Arekere,Closed,--,"Lassi Hut, 37/6, J CROSS , 3RD MAIN ROAD , BISSMILAHNAGAR, BANNERGHTHA ROAD, BANGALORE - 560029","Beverages,Ice Cream,Juices,Fast Food",License No. 21219194000711
PAHALA SWEETS,Arekere,Closed,--,"PAHALA SWEETS, PLOT NO-08 7TH CROSS, 5TH MAIN, GAFFAR LAYOUT, L.B. SASTER NAGAR, BANGALORE NORTH URBAN KARNATAKA",Sweets,License No. 21218008001843
Muddhe Bytes,Arekere,Closed,--,"Muddhe Bytes, 6, 80ft road, Nyanappanahalli, Begur Post, Bangalore- 560068",South Indian,License No. 21218192000662
Interval,Arekere,Closed,--,"Interval, 9/1A SHOP NO 2 GROUND FLOOR AREKERE MAIN ROAD-560076","Juices,Beverages,Desserts",License No. 21219010000387
Firangi Bake,Arekere,Closed,3.9,"Firangi Bake, No 161 A ,166, First floor,Vinayaka Nagar,A,KARNATAKA","Italian,Mexican,Pastas",License No. 11218334000189
UNIQ EATS,Arekere,Closed,--,"UNIQ EATS, 436/3 doddamma lyout Hulimavu next to Christ university 560076,Bommanahalli, B.B.M.P South (Karnataka), - 560076","Fast Food,Beverages",License No. 21219192000907
KC Das,Arekere,Closed,--,"KC Das, 54/48 shivani building j.p nagar 7th phase next to ibp petrol pump Bangalore 560078",Desserts,License No. 21218194000342
ONKAAR,Arekere,Closed,--,"ONKAAR, # 436/3 ,Doddamma Layout , Next toChrist University , Near Royal Meenakshi Mall , , Bannerghatta Road , Bangalore -560076",Indian,Applied for license
Fritz Haber Ice Creams,Arekere,Closed,--,"Fritz Haber Ice Creams, ""34/A 6th Main Raynaaux Mansion Puttenahalli Main Road JP Nagar 7th Phase, Bangalore South, Bangalore Urban (Karnataka), - 560078""","Ice Cream,Desserts",License No. 21219010000383
Pizza Hut,Arekere,Closed,3.9,"Pizza Hut, No: 8, Liss arcade, Arrekare Gate, Bannergatta Road","Fast Food,Pizzas",License No. 10012011000726
Treat Restaurant,Arekere,Closed,--,"Treat Restaurant, Arekere near paramount aprt Sai baba temple road",Indian,License No. 11218334001685
Sasya Foods,Arekere,Closed,3.1,"Sasya Foods, #3/1 Ground Floor, Sreenidhi Lakeview, Eeshwar Layout, R.B.I Layout Main Road, J.P nagar 7th phase bangalore-78","Chinese,North Indian,Beverages",Applied for license
FreshMenu,Arekere,-- MINS,3.9,"FreshMenu, Freshmenu #23/24, Ground floor,  2nd Cross, Arkere main road, Bannerghatta road, Bangalore 560076.","Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Cafe,Desserts,Healthy Food,Mexican,North Indian,Salads,Pizzas",License No. 11217334000242
Grill Yaari,Arekere,Closed,--,"Grill Yaari, No.3 Banerghata Main Road Arekere , Bangalore -560076","Grill,Kebabs,Salads",License No. 11219334001482
Meat And Eat,Arekere,Closed,3.7,"Meat And Eat, SRK Paradise Layout, Wellington Paradise, Begur, Bengaluru, Karnataka, India","Biryani,American,Italian",License No. 21219192001542
NORTH MASALA,Arekere,Closed,--,"NORTH MASALA, HONGASANDRA MAIN ROAD NEAR OXFORD BOYS HOSTEL,BOMMANAHALLI,B.B.M.P SOUTH, Karnataka","Indian,North Indian",License No. 21219192000362
Snacks Way,Arekere,Closed,3.7,"Snacks Way, Snacks Way , Shop No 6 , Rukmaiah Layout, Akshaya Nagar , Begur - Hullimavu Road, Hulimavu,Bengaluru, Karnataka 560076",Beverages,License No. 21219010002367
The Shawarma Rolls & Paratha Kingdom,Arekere,-- MINS,2.5,"The Shawarma Rolls & Paratha Kingdom, nyathappa layout, arekere, Bannerghatta Road  City- Bangalore   ","Fast Food,Mughlai",License No. 21219011000239
Wow! Momo,Arekere,Closed,3.6,"Wow! Momo, Inside Mall Food Court, TFK 38, 3rd Floor, Cave Temple Road, Hulmaue, Bannerghatta Main Rd, Bengaluru, Karnataka 560076","Tibetan,Fast Food,Chinese,Snacks,Continental,Desserts",License No. 11219334001312
Am biryani hotel,Arekere,Closed,3.1,"Am biryani hotel, 958/60/2A2, OPP BGS SCHOOL HULIMAVU BANNERGHATTA ROAD BANGALORE 560076",Fast Food,License No. 21219192000202
The Biryani Life,Arekere,-- MINS,3.3,"The Biryani Life, KSV complex 1st floor devarachikanahalli main road Bangalore 560068","Biryani,Mughlai,Indian",License No. 11219334000434
Susie's Burgers,Arekere,Closed,4.0,"Susie's Burgers, 52, 1st floor, 3rd Cross, Omkar Nagar, Arekere Gate Bannerghata Rd Bangalore 76","Fast Food,Snacks",License No. 21218009000344
SLAY Coffee,Arekere,-- MINS,3.9,"SLAY Coffee, 69/1, GOWREESHA COMPLEX, BANNERGHATTA ROAD CROSS, DODDAKAMMANAHALLI, OPP ANANDA VALMARK APARTMENT, BANGALORE 560076","Beverages,Cafe,Desserts",License No. 11218333000268
Udupi Palace,Arekere,Closed,3.5,"Udupi Palace, Sy No. 23/1, No. E-1, 1/1, Bannerghatta Main Road, Arekere Village, Begur Hobli, Bangalore - 560076","South Indian,North Indian,Chinese",Applied for license
Dine One One,Arekere,Closed,--,"Dine One One, No-32, RR Commercial Complex, Begur Hulimavu Road, Bannerghatta Road, Bangalore-560068","Chinese,North Indian,Continental,American,Desserts",License No. 21218192000854
Omleterian,Arekere,-- MINS,4.3,"Omleterian, #52, 1st Floor, 3rd Cross, Omkar Nagar Arkere gate,Near Reliance Store, Next to Drunken Monkey","Continental,American,Fast Food",License No. 21218009000344
Just Shawarma,Arekere,Closed,4.0,"Just Shawarma, Survey no 81/4a, Cave Temple Road, Opp Meenakshi mall, Hulimavu, Begur hobli, Bannerghatta main road, Bangalore 560076",Arabian,License No. 11218334002184
Bowltree,Arekere,Closed,--,"Bowltree, 2nd Cross Road, AECS Layout - A Block, Singasandra, Bengaluru, Karnataka 560068, India","Arabian,Indian,Mexican",License No. 11219334000907
Ambara Gardenia,Arekere,Closed,4.0,"Ambara Gardenia, #1065/A, 6th Cross, 13th Main, Above Sri Bhagya Grand, 2nd Floor, Vijaya Bank Colony, Bangalore","Chinese,North Indian,Andhra,Tandoor",License No. 11218334001574
New Kabab,Arekere,Closed,--,"New Kabab, BusinessSITE NO 1057, BILEKAHALLI VILLAGE,BEGUR HOBLI,, BANGALORE SOUTH TALUK, Bengaluru (Bangalore) Urban","Indian,Chinese",License No. 11218334001261
Ovenstory Pizza,Arekere,Closed,3.8,"Ovenstory Pizza, No 161,161 A,166, First floor, ,Vinayaka Nagar,Bangalore,KARNATAKA","Pizzas,Italian",License No. 11218334000189
Chicken County Restaurant ,Arekere,Closed,3.9,"Chicken County Restaurant , #16 and #17,RR Commercial Complex, Begur-Hulimavu Road, Opp. Village Hypermarket & Andhara Bank, Akshya Nagar,Bengaliru - 560076","South Indian,North Indian",License No. 11218334001759
KULFI MONK,Arekere,Closed,--,"KULFI MONK, Samruddi Kuteera Food court, Chikka Begur, Manipal County Road, Bangalore-560068",Ice Cream,License No. 21219010000810
Gajanan Mithai Ghar,Arekere,-- MINS,--,"Gajanan Mithai Ghar, #127, 4th Main, Opp L&T South City, Arekere,, Mico Layout, B.G Road., Bengaluru, Karnataka 560078","Bakery,Snacks,Sweets",License No. 21219193001256
World In A Bowl,Arekere,Closed,3.4,"World In A Bowl, No 45, 14th main ,JP nagar 7th phase,Opposite of Samsung Smart Cafe,Puttehahalli Palya,Bangalore-560078","American,Italian,Salads,North Indian,South Indian,Continental,Biryani,Beverages,Desserts",Applied for license
Shake It Off,Arekere,Closed,--,"Shake It Off, Lassi Empire,  Shop No 6, Rukmaiah Layout, Begur- Hullimavu Road, Akshaya Nagar, Begur, Bangalore 560076","Beverages,Snacks",License No. 21219010002726
Cravings,Arekere,-- MINS,3.8,"Cravings, Doddakammanahalli Main Rd, Central Excise Layout, Phase 2, Tejaswini Nagar, Bengaluru, Karnataka 560076, India","North Indian,Chinese,Chaat",License No. 21219192000134
Khana Khazana Thali Restaurant,Arekere,Closed,--,"Khana Khazana Thali Restaurant, NO.202,LAKSHMI LAYOUT,6TH CROSS,BEHIND AREKERE MICO LAYOUT,BG ROAD,BANGALORE,BOMMANAHALLI,B.B.M.P SOUTH (KARNATAKA),-560076",Indian,License No. 21218192001349
Chopstick Chopsee,Arekere,Closed,--,"Chopstick Chopsee, 1654, Begur Main Rd, Vishwapriya Nagar, Begur, Bengaluru, Karnataka 560068","Arabian,North Indian",License No. 21219011000186
Hind Ka Chulha,Arekere,Closed,3.9,"Hind Ka Chulha, Aharam Food Court Royal Meenakshi Mall Hulimavu Bannerghata Main Road","Mughlai,North Indian,Tandoor ,indian",License No. 21219192000247
Sri Krishna Grand,Arekere,Closed,--,"Sri Krishna Grand, SRI KRISHNA GRAND 44 Ramachandra Arcade, Manipal County Rd, Duo City Layout, Singasandra, Bengaluru, Karnataka 560068","North Indian,South Indian",License No. 11219334001874
Kanteen The Eatery,Arekere,Closed,3.7,"Kanteen The Eatery, Site # 22,Nyanapanahalli main road ,Before DLF New Town ,Bangalore 560068.Landmark: Opp Dominos","North Indian,Desserts,Fast Food,Punjabi",License No. 21218192001147
Sri Matha Sagar,Arekere,Closed,--,"Sri Matha Sagar, No:86, New Central Jail raod, Vinayaka Nagar, Electronic City Post, Hosa Road, bangalore, Bommanahalli, B.B.M.P South (karnataka)-560100",Indian,License No. 11217334000239
Brahmin Homely Food,Arekere,-- MINS,--,"Brahmin Homely Food, 6th Cross Rd, Krishna Layout, Hulimavu, Bengaluru, Karnataka 560076",South Indian,License No. 21219010001270
More Pizza,Arekere,Closed,--,"More Pizza, 5, 3rd floor, Meenakshi mall Hulimavu - 560076","Continental,Italian",License No. 11218334001905
Crown Restaurant,Arekere,Closed,3.9,"Crown Restaurant, Arekere Main Road, Bannerghatta Road, Bangalore","Indian,Chinese",License No. 21219192000856
Red Chilli Restaurant,Arekere,Closed,--,"Red Chilli Restaurant, 10, 2nd main road, SR compound, South City, Bg road","Chinese,South Indian,North Indian,Fast Food",License No. 21218007000087
Kwality Walls,Arekere,Closed,--,"Kwality Walls, PRUTHVI DISTRIBUTORS #103/1/1, GOTTIGERE, BANERGHATTA MAIN ROAD 560083 Bangalore",Ice Cream,License No. 11218334000080
Delhi Eatz,Arekere,Closed,--,"Delhi Eatz, 135, First Cross, Pai Layout, Hulimavu, Bannerghatta Main Road, Bangalore, Karnataka - 560076 Locality & Area: Hulimavu Gate City:  Bangalore","Chinese,Indian",License No. 21219194001750
Lassi Shop,Arekere,Closed,2.8,"Lassi Shop, near Lenskart.com, SY No- 154/10 Opp. IIMB Next To Fortis hospital Bannerghatta Road, Sahyadri Layout, Panduranga Nagar, Bengaluru, Karnataka 560076","Desserts,Fast Food,Beverages",License No. 21219194001461
Chai Point,Arekere,-- MINS,4.2,"Chai Point, Royal Meenakshi Mall, Bannerghatta Main Road, Bannerghatta Road, Bangalore","Healthy Food,Bakery,Cafe,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food",License No. 21218194000119
New Kabab Zone,Arekere,Closed,4.0,"New Kabab Zone, #36, DLF New Town,Akshay nagar ,Bangalore 68","North Indian,Chinese,Biryani",License No. 11218334001152
Subway,Arekere,Closed,4.3,"Subway, #154/11, Radhakrishna Tower, Bannerghatta Main Road, Opposite to IIMB Main Gate Bilekahalli Village, Bangalore.","American,Fast Food",License No. 11218334002295
Juice Land,Arekere,Closed,--,"Juice Land, opp meenakshi mall ,near dominos pizza","Desserts,Juices",License No. 21218192000513
Velvet Kitchen,Arekere,Closed,--,"Velvet Kitchen, No 45/1G,shop no 4&5,vajrappa building, arekere, Shanthinikitan main road, B G road, Bangalore -560078","Chinese,North Indian,Fast Food,Kerala,Mughlai,Seafood,Punjabi,Hyderabadi",License No. 11218334000119
Manjushree Veg,Arekere,-- MINS,4.3,"Manjushree Veg, Opp To Ganesh Temple, 86, 1st Cross Road, Arekere MICO Layout 2nd stage, Arakere, Bengaluru, Karnataka 560076","Chinese,South Indian",License No. 11219334001047
Domino's Pizza,Arekere,Closed,4.2,"Domino's Pizza, 471, Datta Complex,Puttenahalli Main Road, R.B.I Layout,J.P. Nagar 7Th Phase,Near Brigade Millenium Apartment,Bangalore- 560078",Pizzas,License No. 11216334000730
Brundhavana,Arekere,-- MINS,3.7,"Brundhavana, NO.83, JP TOWERS, KOTHNUR MAIN ROAD, NEAR BK CIRCLE, BANGALORE. , District  B B M P South, STATE  Karnataka","Indian,South Indian,Beverages",License No. 11219334001004
MOMO Time,Arekere,Closed,--,"MOMO Time, ""#52, 1st Floor, 3rd Cross, Omkar Nagar Arkere gateNext to BIB",Chinese,License No. 21218009000344
Gelato Italiano,Arekere,Closed,--,"Gelato Italiano, 3rd floor, food court, E-1/16 opposite meenakshi temple 1st cross Syndicate Bank colony Bannerghatta Road, Bangalore  560076.",Desserts,Applied for license
The French Loaf,Arekere,Closed,--,"The French Loaf, (CA1) Brigade Millenium Rd, Nataraja Layout,Silver Oak Layout, JP Nagar 7th Phase, Arekere,Bengaluru-560078","Bakery,Fast Food,Beverages",License No. 11217334000324
